Year,Win.Score,Lose.Score,Total.Score
1871,2,0,2
1871,20,18,38
1871,4,12,16
1871,14,12,26
1871,9,5,14
1871,18,10,28
1871,8,12,20
1871,5,14,19
1871,6,12,18
1871,29,14,43
1871,4,14,18
1871,15,12,27
1871,3,14,17
1871,9,7,16
1871,8,11,19
1871,9,13,22
1871,6,15,21
1871,5,14,19
1871,17,13,30
1871,4,4,8
1871,11,10,21
1871,25,10,35
1871,7,16,23
1871,20,15,35
1871,6,5,11
1871,25,11,36
1871,11,10,21
1871,7,3,10
1871,16,14,30
1871,8,11,19
1871,5,15,20
1871,8,5,13
1871,11,10,21
1871,15,11,26
1871,20,11,31
1871,3,13,16
1871,8,7,15
1871,4,12,16
1871,7,10,17
1871,9,3,12
1871,4,11,15
1871,6,10,16
1871,6,3,9
1871,8,6,14
1871,21,0,21
1871,2,10,12
1871,4,12,16
1871,8,18,26
1871,5,3,8
1871,8,20,28
1871,3,16,19
1871,13,0,13
1871,49,33,82
1871,5,4,9
1871,8,13,21
1871,3,20,23
1871,37,16,53
1871,17,13,30
1871,9,22,31
1871,7,3,10
1871,6,5,11
1871,7,1,8
1871,32,12,44
1871,7,15,22
1871,21,12,33
1871,16,13,29
1871,9,30,39
1871,8,12,20
1871,9,7,16
1871,9,11,20
1871,9,16,25
1871,7,11,18
1871,7,26,33
1871,18,10,28
1871,8,13,21
1871,9,12,21
1871,3,3,6
1871,6,17,23
1871,6,10,16
1871,5,18,23
1871,4,15,19
1871,5,10,15
1871,4,0,4
1871,13,12,25
1871,5,10,15
1871,13,10,23
1871,7,23,30
1871,5,12,17
1871,7,4,11
1871,12,10,22
1871,3,15,18
1871,12,11,23
1871,6,5,11
1871,15,11,26
1871,3,11,14
1871,5,2,7
1871,7,18,25
1871,6,4,10
1871,6,4,10
1871,17,12,29
1871,6,3,9
1871,31,10,41
1871,9,8,17
1871,7,18,25
1871,9,4,13
1871,6,3,9
1871,5,15,20
1871,8,11,19
1871,5,4,9
1871,17,14,31
1871,7,5,12
1871,20,17,37
1871,8,16,24
1871,9,7,16
1871,6,11,17
1871,2,12,14
1871,9,7,16
1871,7,16,23
1871,8,10,18
1871,15,13,28
1871,13,10,23
1871,3,12,15
1871,15,13,28
1871,7,21,28
1871,5,11,16
1871,19,12,31
1871,4,1,5
1872,16,0,16
1872,21,1,22
1872,8,14,22
1872,5,25,30
1872,7,11,18
1872,13,11,24
1872,10,0,10
1872,5,22,27
1872,27,10,37
1872,12,0,12
1872,3,26,29
1872,34,19,53
1872,8,1,9
1872,5,4,9
1872,8,2,10
